"","Station","group_id","Behavioral.category","group_sum","Site","Observer","RFID_DateTime","Treatment","Night","Station_Ammend","behave_sum","behave_prop","Haven","Region","Woylie_density"
"1671","WWF6",4,"Other",76.704,"Dryandra_main","GRBL","2022-10-18 20:07:00","F",2,"WWF6",4.996,0.0651335002085941,"Non-havened","Dryandra",1.39
"1672","WWF9",4,"Other",21.369,"DNWS","GRBL","2022-10-11 22:44:00","F",2,"WWF9",1.577,0.0737984931442744,"Havened","Dryandra",1.185
"1673","BOY14",5,"Other",421.932,"Boyicup","TASH","2022-04-18 18:48:00","F",1,"BOY14",20.246,0.0479840353421878,"Non-havened","Upper_Warren",0.494
"1674","BOY16",5,"Other",153.128,"Boyicup","TASH","2022-04-19 19:03:00","C",2,"BOY16",2.499,0.0163196802674886,"Non-havened","Upper_Warren",0.494
"1675","BOY3",5,"Other",162.171,"Boyicup","HAZE","2022-04-15 21:56:00","C",1,"BOY3",2.388,0.0147251974767375,"Non-havened","Upper_Warren",0.494
"1676","BOY6",5,"Other",262.855,"Boyicup","HAZE","2022-04-16 19:18:00","C",2,"BOY6",16.2,0.0616309372087272,"Non-havened","Upper_Warren",0.494
"1677","G12",5,"Other",27.222,"Perup_Sanctuary","HAZE","2022-04-22 22:33:00","F",1,NA,0,0,"Havened","Upper_Warren",0.83
"1678","H15",5,"Other",97.658,"Perup_Sanctuary","GRBL","2022-04-19 18:14:00","C",1,"H15",18.589,0.190347948964755,"Havened","Upper_Warren",0.83
"1679","I14",5,"Other",208.267,"Perup_Sanctuary","GRBL","2022-04-19 18:51:00","F",1,"I14",9.144,0.0439051794091239,"Havened","Upper_Warren",0.83
"1680","J15",5,"Other",37.221,"Perup_Sanctuary","TASH","2022-04-20 18:14:00","C",2,"J15",1.975,0.0530614438086027,"Havened","Upper_Warren",0.83
"1681","K12",5,"Other",29.576,"Perup_Sanctuary","GRBL","2022-04-22 20:14:00","C",1,NA,0,0,"Havened","Upper_Warren",0.83
"1682","K14",5,"Other",156.302,"Perup_Sanctuary","GRBL","2022-04-19 20:16:00","C",1,"K14",1.301,0.00832362989597062,"Havened","Upper_Warren",0.83
"1683","MOO20",5,"Other",51.181,"Moopinup","GRBL","2022-04-19 01:29:00","C",2,"MOO20",1.329,0.02596666731795,"Non-havened","Upper_Warren",0.346
"1684","NH03",5,"Other",13.578,"DNWS","TASH","2022-10-12 19:24:00","C",3,"NH03",3.106,0.228752393577847,"Havened","Dryandra",1.185
"1685","NH12",5,"Other",93.457,"Dryandra_main","TASH","2022-10-19 19:31:00","C",3,NA,0,0,"Non-havened","Dryandra",1.39
"1686","NH31",5,"Other",5.12,"DNWS","TASH","2022-10-11 20:32:00","F",2,"NH31",0.299,0.0583984375,"Havened","Dryandra",1.185
"1687","NH42",5,"Other",38.05,"DNWS","TASH","2022-10-10 19:51:00","F",1,NA,0,0,"Havened","Dryandra",1.185
"1688","NH47",5,"Other",154.592,"DNWS","TASH","2022-10-10 21:43:00","C",1,"NH47",1.976,0.012782032705444,"Havened","Dryandra",1.185
"1689","NH59",5,"Other",90.205,"Dryandra_main","TASH","2022-10-19 21:49:00","C",3,NA,0,0,"Non-havened","Dryandra",1.39
"1690","NH68",5,"Other",30.1,"Dryandra_main","TASH","2022-10-18 01:46:00","F",1,"NH68",3.872,0.128637873754153,"Non-havened","Dryandra",1.39
"1691","WWF12",5,"Other",13.493,"DNWS","GRBL","2022-10-12 19:23:00","C",3,"WWF12",4.052,0.300303861261395,"Havened","Dryandra",1.185
"1692","WWF16",5,"Other",109.748,"DNWS","TASH","2022-10-11 20:58:00","F",2,"WWF16",0.496,0.00451944454568648,"Havened","Dryandra",1.185
"1693","WWF18",5,"Other",37.898,"DNWS","TASH","2022-10-11 21:16:00","F",2,NA,0,0,"Havened","Dryandra",1.185
